schedule,chunksize,num_threads,loop,time
static,1,1,1,0.172338
static,1,1,2,0.505130
static,1,1,1,0.172115
static,1,1,2,0.504914
static,1,1,1,0.172256
static,1,1,2,0.504904
static,1,1,1,0.172129
static,1,1,2,0.497489
static,1,1,1,0.172044
static,1,1,2,0.499835
static,1,1,1,0.171929
static,1,1,2,0.503362
static,1,1,1,0.171918
static,1,1,2,0.528551
static,1,1,1,0.171995
static,1,1,2,0.505262
static,1,1,1,0.172149
static,1,1,2,0.505343
static,1,1,1,0.172334
static,1,1,2,0.505056
static,1,1,1,0.172046
static,1,1,2,0.506624
static,1,1,1,0.172133
static,1,1,2,0.497360
static,1,1,1,0.172050
static,1,1,2,0.500755
static,1,1,1,0.171923
static,1,1,2,0.500903
static,1,1,1,0.171947
static,1,1,2,0.503199
static,1,1,1,0.171962
static,1,1,2,0.506766
static,1,1,1,0.171983
static,1,1,2,0.505469
static,1,1,1,0.172431
static,1,1,2,0.505049
static,1,1,1,0.172147
static,1,1,2,0.505382
static,1,1,1,0.172038
static,1,1,2,0.496797
static,1,2,1,0.089491
static,1,2,2,0.366530
static,1,2,1,0.089688
static,1,2,2,0.366219
static,1,2,1,0.089524
static,1,2,2,0.369609
static,1,2,1,0.089918
static,1,2,2,0.372283
static,1,2,1,0.090281
static,1,2,2,0.373024
static,1,2,1,0.089810
static,1,2,2,0.372462
static,1,2,1,0.090567
static,1,2,2,0.373066
static,1,2,1,0.090460
static,1,2,2,0.375647
static,1,2,1,0.089493
static,1,2,2,0.370570
static,1,2,1,0.089494
static,1,2,2,0.367766
static,1,2,1,0.089624
static,1,2,2,0.365937
static,1,2,1,0.089645
static,1,2,2,0.366734
static,1,2,1,0.090462
static,1,2,2,0.375730
static,1,2,1,0.090046
static,1,2,2,0.372392
static,1,2,1,0.089751
static,1,2,2,0.372532
static,1,2,1,0.089489
static,1,2,2,0.371663
static,1,2,1,0.090341
static,1,2,2,0.374704
static,1,2,1,0.089474
static,1,2,2,0.368033
static,1,2,1,0.089497
static,1,2,2,0.366544
static,1,2,1,0.089523
static,1,2,2,0.366438
static,1,3,1,0.061661
static,1,3,2,0.271652
static,1,3,1,0.061448
static,1,3,2,0.271595
static,1,3,1,0.061489
static,1,3,2,0.271391
static,1,3,1,0.061511
static,1,3,2,0.271336
static,1,3,1,0.062051
static,1,3,2,0.271865
static,1,3,1,0.061468
static,1,3,2,0.272218
static,1,3,1,0.061790
static,1,3,2,0.271794
static,1,3,1,0.061930
static,1,3,2,0.271219
static,1,3,1,0.061594
static,1,3,2,0.271495
static,1,3,1,0.061450
static,1,3,2,0.271680
static,1,3,1,0.061833
static,1,3,2,0.271619
static,1,3,1,0.061770
static,1,3,2,0.272113
static,1,3,1,0.061572
static,1,3,2,0.271391
static,1,3,1,0.061598
static,1,3,2,0.271346
static,1,3,1,0.061562
static,1,3,2,0.271598
static,1,3,1,0.061450
static,1,3,2,0.271165
static,1,3,1,0.061605
static,1,3,2,0.271222
static,1,3,1,0.066723
static,1,3,2,0.287850
static,1,3,1,0.062017
static,1,3,2,0.273249
static,1,3,1,0.062026
static,1,3,2,0.273749
static,1,6,1,0.034308
static,1,6,2,0.250490
static,1,6,1,0.034563
static,1,6,2,0.250604
static,1,6,1,0.034352
static,1,6,2,0.250586
static,1,6,1,0.034357
static,1,6,2,0.250456
static,1,6,1,0.034359
static,1,6,2,0.250739
static,1,6,1,0.034433
static,1,6,2,0.252190
static,1,6,1,0.034334
static,1,6,2,0.250384
static,1,6,1,0.034315
static,1,6,2,0.250506
static,1,6,1,0.034541
static,1,6,2,0.250379
static,1,6,1,0.034333
static,1,6,2,0.252703
static,1,6,1,0.034348
static,1,6,2,0.250432
static,1,6,1,0.034313
static,1,6,2,0.250472
static,1,6,1,0.034352
static,1,6,2,0.253894
static,1,6,1,0.034329
static,1,6,2,0.250560
static,1,6,1,0.034483
static,1,6,2,0.250579
static,1,6,1,0.034337
static,1,6,2,0.250550
static,1,6,1,0.034356
static,1,6,2,0.253191
static,1,6,1,0.034465
static,1,6,2,0.250519
static,1,6,1,0.034374
static,1,6,2,0.250514
static,1,6,1,0.034355
static,1,6,2,0.254397
static,1,12,1,0.018164
static,1,12,2,0.143074
static,1,12,1,0.018110
static,1,12,2,0.143071
static,1,12,1,0.018133
static,1,12,2,0.144455
static,1,12,1,0.018104
static,1,12,2,0.143031
static,1,12,1,0.018133
static,1,12,2,0.143127
static,1,12,1,0.018112
static,1,12,2,0.143082
static,1,12,1,0.018121
static,1,12,2,0.143013
static,1,12,1,0.018145
static,1,12,2,0.143617
static,1,12,1,0.018109
static,1,12,2,0.142958
static,1,12,1,0.018104
static,1,12,2,0.144301
static,1,12,1,0.018111
static,1,12,2,0.143128
static,1,12,1,0.018150
static,1,12,2,0.145287
static,1,12,1,0.018110
static,1,12,2,0.143058
static,1,12,1,0.018246
static,1,12,2,0.143009
static,1,12,1,0.018137
static,1,12,2,0.143082
static,1,12,1,0.018119
static,1,12,2,0.143088
static,1,12,1,0.018156
static,1,12,2,0.144282
static,1,12,1,0.018130
static,1,12,2,0.142987
static,1,12,1,0.018186
static,1,12,2,0.145474
static,1,12,1,0.018141
static,1,12,2,0.143097
static,1,24,1,0.010073
static,1,24,2,0.080687
static,1,24,1,0.010035
static,1,24,2,0.080819
static,1,24,1,0.010077
static,1,24,2,0.080663
static,1,24,1,0.010075
static,1,24,2,0.080621
static,1,24,1,0.010089
static,1,24,2,0.080692
static,1,24,1,0.010099
static,1,24,2,0.080677
static,1,24,1,0.010209
static,1,24,2,0.080682
static,1,24,1,0.010129
static,1,24,2,0.080646
static,1,24,1,0.010062
static,1,24,2,0.080651
static,1,24,1,0.010095
static,1,24,2,0.080652
static,1,24,1,0.010066
static,1,24,2,0.080647
static,1,24,1,0.010173
static,1,24,2,0.080610
static,1,24,1,0.010013
static,1,24,2,0.080650
static,1,24,1,0.010135
static,1,24,2,0.080594
static,1,24,1,0.010198
static,1,24,2,0.080663
static,1,24,1,0.010204
static,1,24,2,0.082031
static,1,24,1,0.010098
static,1,24,2,0.080613
static,1,24,1,0.010133
static,1,24,2,0.080659
static,1,24,1,0.010114
static,1,24,2,0.080656
static,1,24,1,0.010203
static,1,24,2,0.080710
static,2,1,1,0.171406
static,2,1,2,0.504818
static,2,1,1,0.171895
static,2,1,2,0.504705
static,2,1,1,0.171582
static,2,1,2,0.504409
static,2,1,1,0.171535
static,2,1,2,0.504373
static,2,1,1,0.171534
static,2,1,2,0.496981
static,2,1,1,0.171468
static,2,1,2,0.498416
static,2,1,1,0.171356
static,2,1,2,0.500592
static,2,1,1,0.171315
static,2,1,2,0.502499
static,2,1,1,0.171332
static,2,1,2,0.504874
static,2,1,1,0.171385
static,2,1,2,0.506285
static,2,1,1,0.171438
static,2,1,2,0.504916
static,2,1,1,0.171617
static,2,1,2,0.504627
static,2,1,1,0.171425
static,2,1,2,0.504548
static,2,1,1,0.171576
static,2,1,2,0.496994
static,2,1,1,0.171383
static,2,1,2,0.498180
static,2,1,1,0.171340
static,2,1,2,0.500077
static,2,1,1,0.171434
static,2,1,2,0.502472
static,2,1,1,0.171317
static,2,1,2,0.503949
static,2,1,1,0.171570
static,2,1,2,0.505081
static,2,1,1,0.171575
static,2,1,2,0.504765
static,2,2,1,0.088550
static,2,2,2,0.294175
static,2,2,1,0.088630
static,2,2,2,0.294964
static,2,2,1,0.088496
static,2,2,2,0.293216
static,2,2,1,0.089279
static,2,2,2,0.292478
static,2,2,1,0.088932
static,2,2,2,0.289906
static,2,2,1,0.088544
static,2,2,2,0.294300
static,2,2,1,0.089241
static,2,2,2,0.296520
static,2,2,1,0.088511
static,2,2,2,0.293589
static,2,2,1,0.089257
static,2,2,2,0.292362
static,2,2,1,0.088619
static,2,2,2,0.289461
static,2,2,1,0.089325
static,2,2,2,0.297109
static,2,2,1,0.088607
static,2,2,2,0.296952
static,2,2,1,0.088476
static,2,2,2,0.293287
static,2,2,1,0.088458
static,2,2,2,0.290149
static,2,2,1,0.089002
static,2,2,2,0.289674
static,2,2,1,0.088584
static,2,2,2,0.294676
static,2,2,1,0.088799
static,2,2,2,0.297140
static,2,2,1,0.088482
static,2,2,2,0.304898
static,2,2,1,0.088471
static,2,2,2,0.290681
static,2,2,1,0.088848
static,2,2,2,0.289553
static,2,3,1,0.061241
static,2,3,2,0.290492
static,2,3,1,0.061223
static,2,3,2,0.294392
static,2,3,1,0.061848
static,2,3,2,0.293119
static,2,3,1,0.061215
static,2,3,2,0.290639
static,2,3,1,0.061142
static,2,3,2,0.290778
static,2,3,1,0.061427
static,2,3,2,0.294784
static,2,3,1,0.061228
static,2,3,2,0.291534
static,2,3,1,0.061317
static,2,3,2,0.290408
static,2,3,1,0.061362
static,2,3,2,0.290743
static,2,3,1,0.061888
static,2,3,2,0.297581
static,2,3,1,0.061226
static,2,3,2,0.293312
static,2,3,1,0.061474
static,2,3,2,0.290819
static,2,3,1,0.061501
static,2,3,2,0.290709
static,2,3,1,0.061288
static,2,3,2,0.295529
static,2,3,1,0.061428
static,2,3,2,0.297843
static,2,3,1,0.061161
static,2,3,2,0.292018
static,2,3,1,0.061227
static,2,3,2,0.290499
static,2,3,1,0.061190
static,2,3,2,0.290635
static,2,3,1,0.061268
static,2,3,2,0.290810
static,2,3,1,0.061323
static,2,3,2,0.294979
static,2,6,1,0.034228
static,2,6,2,0.181324
static,2,6,1,0.034108
static,2,6,2,0.181511
static,2,6,1,0.034097
static,2,6,2,0.181415
static,2,6,1,0.034235
static,2,6,2,0.181475
static,2,6,1,0.034084
static,2,6,2,0.181408
static,2,6,1,0.034118
static,2,6,2,0.181308
static,2,6,1,0.034260
static,2,6,2,0.184904
static,2,6,1,0.034097
static,2,6,2,0.181344
static,2,6,1,0.034268
static,2,6,2,0.184162
static,2,6,1,0.034252
static,2,6,2,0.181456
static,2,6,1,0.034133
static,2,6,2,0.181536
static,2,6,1,0.034118
static,2,6,2,0.183204
static,2,6,1,0.034084
static,2,6,2,0.181424
static,2,6,1,0.034111
static,2,6,2,0.181412
static,2,6,1,0.034105
static,2,6,2,0.182711
static,2,6,1,0.034076
static,2,6,2,0.181414
static,2,6,1,0.034114
static,2,6,2,0.181479
static,2,6,1,0.034123
static,2,6,2,0.184117
static,2,6,1,0.034260
static,2,6,2,0.181383
static,2,6,1,0.034134
static,2,6,2,0.181422
static,2,12,1,0.018153
static,2,12,2,0.108805
static,2,12,1,0.018140
static,2,12,2,0.107304
static,2,12,1,0.018164
static,2,12,2,0.107302
static,2,12,1,0.018165
static,2,12,2,0.107260
static,2,12,1,0.018209
static,2,12,2,0.107287
static,2,12,1,0.018193
static,2,12,2,0.107827
static,2,12,1,0.018173
static,2,12,2,0.107353
static,2,12,1,0.018173
static,2,12,2,0.108730
static,2,12,1,0.018171
static,2,12,2,0.107256
static,2,12,1,0.018174
static,2,12,2,0.107379
static,2,12,1,0.018159
static,2,12,2,0.107352
static,2,12,1,0.018176
static,2,12,2,0.107294
static,2,12,1,0.018164
static,2,12,2,0.107255
static,2,12,1,0.018156
static,2,12,2,0.107372
static,2,12,1,0.018176
static,2,12,2,0.107356
static,2,12,1,0.018182
static,2,12,2,0.107419
static,2,12,1,0.018186
static,2,12,2,0.107739
static,2,12,1,0.018149
static,2,12,2,0.107336
static,2,12,1,0.018175
static,2,12,2,0.108918
static,2,12,1,0.018129
static,2,12,2,0.107346
static,2,24,1,0.010215
static,2,24,2,0.053825
static,2,24,1,0.010095
static,2,24,2,0.053886
static,2,24,1,0.010170
static,2,24,2,0.053851
static,2,24,1,0.010193
static,2,24,2,0.053848
static,2,24,1,0.010217
static,2,24,2,0.053840
